"State","Code","State_Caps"
"Andhra Pradesh","AP","ANDHRA PRADESH"
"Arunachal Pradesh","AR","ARUNACHAL PRADESH"
"Assam","AS","ASSAM"
"Bihar","BR","BIHAR"
"Chhattisgarh","CG","CHHATTISGARH"
"Chattisgarh","CG","CHATTISGARH"
"Goa","GA","GOA"
"Gujarat","GJ","GUJARAT"
"Haryana","HR","HARYANA"
"Himachal Pradesh","HP","HIMACHAL PRADESH"
"H P","HP","H P"
"Jammu and Kashmir","JK","JAMMU AND KASHMIR"
"J & K","JK","J & K"
"Jharkhand","JH","JHARKHAND"
"Karnataka","KA","KARNATAKA"
"Kerala","KL","KERALA"
"Madhya Pradesh","MP","MADHYA PRADESH"
"Maharashtra","MH","MAHARASHTRA"
"Manipur","MN","MANIPUR"
"Meghalaya","ML","MEGHALAYA"
"Mizoram","MZ","MIZORAM"
"Nagaland","NL","NAGALAND"
"Orissa","OR","ORISSA"
"Odisha","OR","ODISHA"
"Punjab","PB","PUNJAB"
"Rajasthan","RJ","RAJASTHAN"
"Sikkim","SK","SIKKIM"
"Tamil Nadu","TN","TAMIL NADU"
"Tripura","TR","TRIPURA"
"Uttaranchal","UA","UTTARANCHAL"
"Uttarakhand","UA","UTTARAKHAND"
"Uttar Pradesh","UP","UTTAR PRADESH"
"West Bengal","WB","WEST BENGAL"
"Andaman and Nicobar","AN","ANDAMAN AND NICOBAR"
"Chandigarh","CH","CHANDIGARH"
"Dadra and Nagar Haveli","DN","DADRA AND NAGAR HAVELI"
"D.N.Haveli","DN","D.N.HAVELI"
"Daman and Diu","DD","DAMAN AND DIU"
"Daman & Diu","DD","DAMAN & DIU"
"Delhi","DL","DELHI"
"Lakshadweep","LD","LAKSHADWEEP"
"Puducherry","PY","PUDUCHERRY"
"Pondicherry","PY","PONDICHERRY"
